doc_id,document
2p7qrgx0,"Since 2007, many cases of fever, thrombocytopenia and leukopenia syndrome (FTLS) have emerged in Henan Province, China. Patient reports of tick bites suggested that infection could contribute to FTLS. Many tick-transmitted microbial pathogens were tested for by PCR/RT-PCR and/or indirect immunofluorescence assay (IFA). However, only 8% (24/285) of samples collected from 2007 to 2010 tested positive for human granulocytic anaplasmosis (HGA), suggesting that other pathogens could be involved. Here, we used an unbiased metagenomic approach to screen and survey for microbes possibly associated with FTLS. BLASTx analysis of deduced protein sequences revealed that a novel bunyavirus (36% identity to Tehran virus, accession: HQ412604) was present only in sera from FTLS patients. A phylogenetic analysis further showed that, although closely related to Uukuniemi virus of the Phlebovirus genus, this virus was distinct. The candidate virus was examined for association with FTLS among samples collected from Henan province during 2007–2010. RT-PCR, viral cultures, and a seroepidemiologic survey were undertaken. RT-PCR results showed that 223 of 285 (78.24%) acute-phase serum samples contained viral RNA. Of 95 patients for whom paired acute and convalescent sera were available, 73 had serologic evidence of infection, with 52 seroconversions and 21 exhibiting a 4-fold increase in antibody titer to the virus. The new virus was isolated from patient acute-phase serum samples and named Henan Fever Virus (HNF virus). Whole-genome sequencing confirmed that the virus was a novel bunyavirus with genetic similarity to known bunyaviruses, and was most closely related to the Uukuniemi virus (34%, 24%, and 29% of maximum identity, respectively, for segment L, M, S at maximum query coverage). After the release of the GenBank sequences of SFTSV, we found that they were nearly identical (>99% identity). These results show that the novel bunyavirus (HNF virus) is strongly correlated with FTLS."
25dcnext,"BACKGROUND: Respiratory viral (RV) outbreaks in rehabilitation facilities can jeopardise patient safety, interfere with patient rehabilitation goals and cause unit closures that impede patient flow in referring facilities. PROBLEM: Despite education about infection prevention practices, frequent RV outbreaks were declared each year at our rehabilitation facility. METHODS: Before and after study design. The primary outcome was the number of bed closure days due to outbreak per overall bed days. Process measures included delays in initiation of transmission-based precautions, RV testing and reporting of staff to occupational health and safety (OHS). Balancing measures included the number of isolation days and staff missed work hours. INTERVENTIONS: Based on comprehensive analysis of prior outbreaks, the following changes were implemented: (1) clear criteria for initiation of transmission-based precautions, (2) communication to visitors to avoid visitation if infectious symptoms were present, (3) exemption of staff absences if documented due to infectious illness, (4) development of an electronic programme providing guidance to staff about whether they should be excluded from work due to infectious illness. RESULTS: The number of bed closure days due to outbreak per overall bed days dropped from 2.8% to 0.5% during the intervention season and sustained at 0.6% during the postintervention season (p<0.001). There were fewer delays in initiation of droplet and contact precautions (28.8% to 15.5%, p=0.005) and collection of RV testing (42.9% to 20.3%, p<0.001), better reporting to OHS (9 vs 28.8 reports per 100 employees; p<0.001) and fewer isolation days (7.8% vs 7.3%; p=0.02) without a significant increase in missed work hours per 100 hours worked (4.0 vs 3.9; p=0.12). CONCLUSION: This Quality Improvement study highlights the process changes that can prevent respiratory outbreaks in the rehabilitation setting."
2jq626ye,"A novel coronavirus (2019-nCoV) originating in Wuhan, China presents a potential respiratory viral pandemic to the world population. Current efforts are focused on containment and quarantine of infected individuals. Ultimately, the outbreak could be controlled with a protective vaccine to prevent 2019-nCoV infection. While vaccine research should be pursued intensely, there exists today no therapy to treat 2019-nCoV upon infection, despite an urgent need to find options to help these patients and preclude potential death. Herein, I review the potential options to treat 2019-nCoV in patients, with an emphasis on the necessity for speed and timeliness in developing new and effective therapies in this outbreak. I consider the options of drug repurposing, developing neutralizing monoclonal antibody therapy, and an oligonucleotide strategy targeting the viral RNA genome, emphasizing the promise and pitfalls of these approaches. Finally, I advocate for the fastest strategy to develop a treatment now, which could be resistant to any mutations the virus may have in the future. The proposal is a biologic that blocks 2019-nCoV entry using a soluble version of the viral receptor, angiotensin-converting enzyme 2 (ACE2), fused to an immunoglobulin Fc domain (ACE2-Fc), providing a neutralizing antibody with maximal breath to avoid any viral escape, while also helping to recruit the immune system to build lasting immunity. The ACE2-Fc therapy would also supplement decreased ACE2 levels in the lungs during infection, thereby directly treating acute respiratory distress pathophysiology as a third mechanism of action. The sequence of the ACE2-Fc protein is provided to investigators, allowing its possible use in recombinant protein expression systems to start producing drug today to treat patients under compassionate use, while formal clinical trials are later undertaken. Such a treatment could help infected patients before a protective vaccine is developed and widely available in the coming months to year(s)."
270msv5l,"• Several studies suggested Baricitinib as a potential drug for the management of COVID 19 infection through drug repurposing strategies because of its ability to act on AT2 cells and AAK1 mediated endocytosis. • Baricitinib, a Januase Kinase Inhibitor, have known to cause Lymphocytopenia, Neutropenia and Viral Reactivation. • Reported Epidemiological studies have shown that COVID 19 patients have a lesser absolute lymphocyte count closer to the threshold value. • Moreover, incidence of Co-infection for COVID 19 patients is one of the leading causes of Mortality. Baricitinib may enhance the incidence of Co-infection. • Hence, Baricitinib may not be an ideal option for Management of COVID 19."
14x4uqq7,"Evidence from the 2003 SARS epidemic and 2009 H1N1 pandemic shows that face masks can be an effective non-pharmaceutical intervention in minimizing the spread of airborne viruses. Recent studies have shown that using face masks is correlated to an individual’s age and gender, where females and older adults are more likely to wear a mask than males or youths. There are only a few studies quantifying the impact of using face masks to slow the spread of an epidemic at the population level, and even fewer studies that model their impact in a population where the use of face masks depends upon the age and gender of the population. We use a state-of-the-art agent-based simulation to model the use of face masks and quantify their impact on three levels of an influenza epidemic and compare different mitigation scenarios. These scenarios involve changing the demographics of mask usage, the adoption of mask usage in relation to a perceived threat level, and the combination of masks with other non-pharmaceutical interventions such as hand washing and social distancing. Our results shows that face masks alone have limited impact on the spread of influenza. However, when face masks are combined with other interventions such as hand sanitizer, they can be more effective. We also observe that monitoring social internet systems can be a useful technique to measure compliance. We conclude that educating the public on the effectiveness of masks to increase compliance can reduce morbidity and mortality."
6apsd91c,"Air travel facilitates the international spread of infectious disease. While global air travel data represent the volume of travel between airports, identifying which airport an infected individual might use, or where a disease might spread after an infected passenger deplanes, remains a largely unexplored area of research and public health practice. This gap can be addressed by estimating airport catchment areas. This research aims to determine how existing market area delineation techniques estimate airport catchments differently, and which techniques are best suited to anticipate where infectious diseases may spread. Multiple techniques were tested for airports in the Province of Ontario, Canada: circular buffers, drive-time buffers, Thiessen polygons, and the Huff model, with multiple variations tested for some techniques. The results were compared qualitatively and quantitatively based on spatial patterns as well as area and population of each catchment area. There were notable differences, specifically between deterministic and probabilistic approaches. Deterministic techniques may only be suitable if all airports in a study area are similar in terms of attractiveness. The probabilistic Huff model appeared to produce more realistic results because it accounted for variation in airport attractiveness. Additionally, the Huff model requires few inputs and therefore would be efficient to execute in situations where time, resources, and data are limited."
4giwnrbw,"This chapter seeks to survey many of the common pathological entities identified in the lungs at autopsy and the potential role of pulmonary disease in formulating an opinion regarding the cause of death. Appreciation of pulmonary pathology in the medicolegal context is important as it frequently contributes to the immediate or underlying mechanisms of death. The primacy of the lungs in breathing and their coordinated function with the cardiovascular system means that ­pulmonary failure can rapidly compromise tissue oxygenation and body chemistry, leading to an alteration in blood pH, hypoxic damage to downstream tissues and ultimately multiorgan failure and death. Moreover, given that the lungs have direct contact with the environment through inhalation and receive approximately 50% of the cardiac output with each beat of the heart, they may be adversely affected by hazardous agents from the outside world or other pathologic processes not primarily located in the lungs. The range of topics discussed herein is limited by design to deaths due to disease and largely foregoes discussion of more forensically relevant issues relating to toxicology or trauma. Furthermore, the content and format of this chapter is not intended to be encyclopedic, but rather attempts to highlight selected issues regarding pulmonary disease of potential relevance to surgical or forensic pathologists who perform medicolegal postmortem examinations."
0ai8chbu,"The isolation of patients with suspected or documented infections—to not spread to others—has been discussed for hundreds of years. Guidelines are many, methods are different, attitudes show vide variations, routines and procedures are still changing, regulations by law may be absent, and some healthcare professionals may be afraid of adverse outcomes of isolation [1–44]. Microbes that are spread in the environment, on the hands and equipment are invisible. The invisible agent does not call on attention before the infection; clinical disease, hospital infection or nosocomial infection is a factum that can be registered [23, 28, 29, 35–37]. How to stop the transmission is often “to believe and not believe” in infection control."
0te5ybjv,"Turkey coronavirus (TCoV) infection continues to threaten turkey industry. Because specific treatment and effective vaccination program are not available, rapid and cost-effective detection of antibodies to TCoV infection is an important control measure to monitor the disease status in the fields. Two antibody-capture enzyme-linked immunosorbent assay (ELISA) procedures for detection of antibodies to TCoV are outlined in this chapter. One ELISA method uses chicken infectious bronchitis coronavirus (IBV) as the coating antigen based on antigenic cross-reactivity between TCoV and IBV. The other method relies on a recombinant TCoV nucleocapsid protein. Both methods are useful for serological diagnosis of TCoV infection in the turkey flocks."
ek53y2kp,"Around the globe, there is a great concern about controlling growth of pathogenic microorganisms for the prevention of infectious diseases. Moreover, the greater incidences of cross contamination and overuse of drugs has contributed towards the development of drug resistant microbial strains making conditions even worse. Hospital acquired infections pose one of the leading complications associated with implantation of any biomaterial after surgery and critical care. In this regard, developing non-conventional antimicrobial agents which would prevent the aforementioned causes is under the quest. The rapid development in nanoscience and nanotechnology has shown promising potential for developing novel biocidal agents that would integrate with a biomaterial to prevent bacterial colonization and biofilm formation. Metals with inherent antimicrobial properties such as silver, copper, zinc at nano scale constitute a special class of antimicrobials which have broad spectrum antimicrobial nature and pose minimum toxicity to humans. Hence, novel biomaterials that inhibit microbial growth would be of great significance to eliminate medical device/instruments associated infections. This chapter comprises the state-of-art advancements in the development of nano-antimicrobial biomaterials for biomedical applications. Several strategies have been targeted to satisfy few important concern such as enhanced long term antimicrobial activity and stability, minimize leaching of antimicrobial material and promote reuse. The proposed strategies to develop new hybrid antimicrobial biomaterials would offer a potent antibacterial solution in healthcare sector such as wound healing applications, tissue scaffolds, medical implants, surgical devices and instruments."
